Internal ID,Vendor ID,SMILES,CollectionName,LOG HLM_CLint (mL/min/kg),LOG MDR1-MDCK ER (B-A/A-B),LOG SOLUBILITY PH 6.8 (ug/mL),LOG PLASMA PROTEIN BINDING (HUMAN) (% unbound),LOG PLASMA PROTEIN BINDING (RAT) (% unbound),LOG RLM_CLint (mL/min/kg),valid_structure,canonical_smiles,murcko_scaffold,is_fluorinated,fluorine_subgroup,fluoro_F_count,fluoro_has_fluorine,fluoro_F_fraction_heavy,fluoro_fluorinated_carbon_count,fluoro_max_F_per_carbon,fluoro_single_F_carbon_count,fluoro_CF2_carbon_count,fluoro_CF3_carbon_count,fluoro_CHF_carbon_count,fluoro_CH2F_carbon_count,fluoro_trifluoromethyl_count,fluoro_aryl_F_count,fluoro_alkyl_F_count,fluoro_vinyl_F_count,fluoro_ring_bound_F_count,fluoro_fluorinated_aromatic_ring_count,fluoro_aryl_CF3_count,fluoro_alpha_hetero_F_count,fluoro_beta_hetero_F_count,fluoro_F_within_2_bonds_hetero_count,fluoro_F_within_3_bonds_hetero_count,fluoro_F_to_hetero_min_distance,fluoro_F_to_hetero_mean_min_distance,fluoro_ortho_hetero_aromatic_F_count,fluoro_meta_hetero_aromatic_F_count,fluoro_para_hetero_aromatic_F_count,fluoro_F_atom_gasteiger_charge_mean,fluoro_F_atom_gasteiger_charge_min,fluoro_F_atom_gasteiger_charge_max,fluoro_CF_carbon_gasteiger_charge_mean,fluoro_CF_carbon_degree_mean,fluoro_CF_carbon_total_h_mean,fluoro_CF_bond_length_mean_A,fluoro_CF_bond_length_min_A,fluoro_CF_bond_length_max_A,fluoro_F_substituent_entropy,official_hlm_split,hash_hlm_split,scaffold_fold,hlm_left_censored,rlm_left_censored,paired_endpoint_available,log_clint_human_minus_rat,hlm_low_clearance
Mol1,317714313,CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nn2c(C(=O)N[C@@H]3C[C@@H]3F)cnc12,emolecules,0.675686709,1.493167369,0.089905111,0.991226076,0.51851394,1.392169149,True,CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nn2c(C(=O)N[C@@H]3C[C@@H]3F)cnc12,O=C(NC1CC1)c1cnc2ccc(Nc3cccn(-c4ccccn4)c3=O)nn12,1,other alkyl-F,1,1,0.03125,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,3.0,3.0,0,0,0,-0.2451389707360574,-0.2451389707360574,-0.2451389707360574,0.12238027783777534,3.0,1.0,,,,-0.0,train,train,4,1,0,1,-0.71648244,1.0
Mol2,324056965,CCOc1cc2nn(CCC(C)(C)O)cc2cc1NC(=O)c1cccc(C(F)F)n1,emolecules,0.675686709,1.040780099,0.550228353,0.099680641,0.268343914,1.027920136,True,CCOc1cc2nn(CCC(C)(C)O)cc2cc1NC(=O)c1cccc(C(F)F)n1,O=C(Nc1ccc2n[nH]cc2c1)c1ccccn1,1,CF2-containing,2,1,0.06666666666666667,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,2,3.0,3.0,0,0,0,-0.20325466028983383,-0.20325466028983383,-0.20325466028983383,0.27988851587664537,3.0,1.0,,,,-0.0,train,test,4,1,1,1,-0.35223342700000004,1.0
Mol3,304005766,CN(c1ncc(F)cn1)[C@H]1CCCNC1,emolecules,0.675686709,-0.358805917,,2.0,2.0,1.027920136,True,CN(c1ncc(F)cn1)[C@H]1CCCNC1,c1cnc(N[C@H]2CCCNC2)nc1,1,aryl-F without CF3,1,1,0.06666666666666667,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,3.0,3.0,0,1,0,-0.20358497728514569,-0.20358497728514569,-0.20358497728514569,0.1594247464962758,3.0,0.0,,,,-0.0,train,train,3,1,1,1,-0.35223342700000004,1.0
Mol4,194963090,CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cc1)C(=O)O,emolecules,0.675686709,1.02666239,1.657055853,-1.158015195,-1.403402904,1.027920136,True,CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cc1)C(=O)O,c1ccc(-c2cncc(-c3ccccc3)c2)cc1,0,nonfluorinated,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,train,train,0,1,1,1,-0.35223342700000004,1.0
Mol5,324059015,CC(C)(O)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1,emolecules,0.996380313,1.010596548,,1.015611205,1.092264361,1.629093448,True,CC(C)(O)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1,O=C(Nc1ccc2n[nH]cc2c1)c1ccccn1,1,CF3-containing,3,1,0.09375,1,3,0,0,1,0,0,1,0,3,0,0,0,1,0,3,0,3,3.0,3.0,0,0,0,-0.16452506345950427,-0.16452506345950427,-0.16452506345950427,0.4328614618790571,4.0,0.0,,,,-0.0,train,test,4,0,0,1,-0.6327131350000001,1.0
Mol6,316230505,CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,emolecules,1.397348966,0.860625544,1.033423755,0.163856803,-0.639532816,2.376374361,True,CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,c1cc(N2CCCCC2)c2cc[nH]c2c1,1,aryl-F without CF3,1,1,0.037037037037037035,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,3.0,3.0,0,0,0,-0.20465683105529722,-0.20465683105529722,-0.20465683105529722,0.1475762156746593,3.0,0.0,,,,-0.0,train,train,2,0,0,1,-0.9790253949999999,1.0
Mol7,299985775,CC(C)NCC(O)COc1cccc2ccccc12,emolecules,1.327231598,-0.162401489,,,1.347759218,3.318275952,True,CC(C)NCC(O)COc1cccc2ccccc12,c1ccc2ccccc2c1,0,nonfluorinated,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,train,train,2,0,0,1,-1.991044354,1.0
Mol8,538570,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,emolecules,1.458063445,2.091561417,,-0.91721463,-0.943095149,2.72806226,True,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(CCNC(=O)c2ccccc2)cc1,0,nonfluorinated,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,train,test,2,0,0,1,-1.2699988150000001,1.0
Mol9,EN300-97039,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,enamineBB_pmc,2.7565,0.72516,0.93399,0.62603,-0.35853,3.2433,True,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,c1ccc(Oc2ccc(-c3nn([C@@H]4CCCNC4)c4ncncc34)cc2)cc1,0,nonfluorinated,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,train,train,0,0,0,1,-0.4868000000000001,0.0
Mol10,44811418,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,emolecules,1.630824356,1.301828955,,-1.384078213,-0.504455662,3.192741081,True,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,c1ccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)cc1,0,nonfluorinated,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,train,test,0,0,0,1,-1.561916725,1.0
