review_priority,review_reason,manual_review_status,manual_review_note,pair_id,document_id,doi,transformation,base_id,fluorinated_id,base_smiles,fluorinated_smiles,selected_hlm_assay_id,selected_rlm_assay_id,assay_matched_base_hlm,assay_matched_fluorinated_hlm,assay_matched_delta_hlm,assay_matched_base_rlm,assay_matched_fluorinated_rlm,assay_matched_delta_rlm,assay_matched_direction_agreement
1,non_aryl_transform;absolute_delta_gt_0.5,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00023,109096.0,10.1021/acs.jmedchem.8b00518,OCH3_to_OCF3,OA35PAIR_01689,OA35PAIR_00582,COc1ccc([C@H](NC(=O)c2ccc3cccnc3c2)c2ncccc2C(F)(F)F)cc1,O=C(N[C@@H](c1ccc(OC(F)(F)F)cc1)c1ncccc1C(F)(F)F)c1ccc2cccnc2c1,1779573,1779574,1.824060717418653,1.3692158574101427,-0.4548448600085102,2.6549462265843444,1.4313637641589874,-1.223582462425357,1.0
1,cross_species_reversal;absolute_delta_gt_0.5,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00008,110470.0,10.1021/acs.jmedchem.8b00994,Ar-H_to_Ar-F,OA35PAIR_00459,OA35PAIR_00238,Cc1noc2ccc(Nc3[nH]nc4ncccc34)cc12,Cc1noc2c(F)cc(Nc3[nH]nc4ncccc34)cc12,1810580,1810581,1.9106244048892012,1.7007037171450194,-0.2099206877441817,1.4785664955938431,2.041392685158225,0.5628261895643816,0.0
1,cross_species_reversal;absolute_delta_gt_0.5,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00036,110470.0,10.1021/acs.jmedchem.8b00994,Ar-H_to_Ar-F,OA35PAIR_00459,OA35PAIR_00808,Cc1noc2ccc(Nc3[nH]nc4ncccc34)cc12,Cc1noc2ccc(Nc3[nH]nc4ncc(F)cc34)cc12,1810580,1810581,1.9106244048892012,1.3729120029701063,-0.5377124019190946,1.4785664955938431,1.5943925503754266,0.1158260547815832,0.0
1,non_aryl_transform;absolute_delta_gt_0.5,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00050,110470.0,10.1021/acs.jmedchem.8b00994,CH2_to_CF2,OA35PAIR_01419,OA35PAIR_01102,CCc1noc2cc(Nc3[nH]nc4cccnc34)ccc12,CC(F)(F)c1noc2cc(Nc3[nH]nc4cccnc34)ccc12,1810580,1810581,1.8444771757456817,1.390935107103379,-0.4535420686423024,2.3096301674258988,1.0413926851582251,-1.2682374822676736,1.0
1,non_aryl_transform,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00066,110861.0,10.1021/acs.jmedchem.9b01721,CH3_to_CF3,OA35PAIR_01654,OA35PAIR_01539,CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N2Cc3ccc(F)cc3CC[C@H]2C)C1=O,CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N2Cc3ccc(F)cc3CC[C@H]2C(F)(F)F)C1=O,1825665,1825666,2.4747260421801167,2.2750117377780112,-0.1997143044021054,2.678518379040114,2.230244499401375,-0.4482738796387391,1.0
1,absolute_delta_gt_0.5,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00057,113971.0,10.1021/acs.jmedchem.8b01679,Ar-H_to_Ar-F,OA35PAIR_00524,OA35PAIR_01241,CCc1ccc2nc(N3CCC(N[C@@H]4CCCOC4)CC3)c(-c3nc(C)no3)cc2c1,CCc1cc(F)c2nc(N3CCC(N[C@@H]4CCCOC4)CC3)c(-c3nc(C)no3)cc2c1,1921430,1921431,1.6053050461411094,1.0791812460476249,-0.5261238000934845,1.7101173651118162,1.3560258571931227,-0.3540915079186935,1.0
1,non_aryl_transform;cross_species_reversal;absolute_delta_gt_0.5,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00044,119055.0,10.1021/acs.jmedchem.0c01279,C-H_to_C-F,OA35PAIR_01531,OA35PAIR_00978,C[C@H]1C[C@@H](c2ccncc2NC(=O)c2nc(-c3ncccc3F)ccc2N)C[C@@H](O)[C@]1(C)O,C[C@H]1C[C@@H](c2ccncc2NC(=O)c2nc(-c3ncccc3F)ccc2N)C[C@@H](O)[C@@]1(O)CF,2068636,2068635,1.4771212547196624,0.9030899869919436,-0.5740312677277188,1.5440680443502757,1.6127838567197357,0.0687158123694597,0.0
1,non_aryl_transform;cross_species_reversal,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00046,119055.0,10.1021/acs.jmedchem.0c01279,C-H_to_C-F,OA35PAIR_01104,OA35PAIR_01028,C[C@H]1C[C@@H](c2ccncc2NC(=O)c2nc(-c3c(F)cccc3F)ncc2N)C[C@@H](O)[C@]1(C)O,C[C@H]1C[C@@H](c2ccncc2NC(=O)c2nc(-c3c(F)cccc3F)ncc2N)C[C@@H](O)[C@@]1(O)CF,2068636,2068635,1.0413926851582251,1.462397997898956,0.4210053127407309,2.173186268412274,1.9822712330395684,-0.1909150353727056,0.0
1,cross_species_reversal;absolute_delta_gt_0.5,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00068,119817.0,10.1016/j.ejmech.2020.112424,Ar-H_to_Ar-F,OA35PAIR_00480,OA35PAIR_01560,COc1cc(F)ccc1-c1ccnc(Nc2ccc3c(N4CCOCC4)c(C(C)=O)c(=O)oc3c2)n1,COc1cc(F)ccc1-c1nc(Nc2ccc3c(N4CCOCC4)c(C(C)=O)c(=O)oc3c2)ncc1F,2089339,2089345,1.6851862028670606,1.6570175873403687,-0.0281686155266918,2.413634997198556,3.093491727010932,0.6798567298123763,0.0
1,non_aryl_transform,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00022,120738.0,10.1021/acs.jmedchem.1c00847,C-H_to_C-F,OA35PAIR_01731,OA35PAIR_00567,CCCN1CC(Nc2cc(F)c([C@@H]3c4[nH]c5ccccc5c4C[C@@H](C)N3CC(F)(F)CO)c(F)c2)C1,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)cc(NC3CN(CCCF)C3)cc2F)N1CC(F)(F)CO,2118298,2118299,0.9542425094393248,1.0413926851582251,0.0871501757189002,1.1760912590556811,1.2787536009528289,0.1026623418971475,1.0
1,non_aryl_transform,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00029,120738.0,10.1021/acs.jmedchem.1c00847,CH2_to_CF2,OA35PAIR_01731,OA35PAIR_00667,CCCN1CC(Nc2cc(F)c([C@@H]3c4[nH]c5ccccc5c4C[C@@H](C)N3CC(F)(F)CO)c(F)c2)C1,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)cc(NC3CN(CCC(F)F)C3)cc2F)N1CC(F)(F)CO,2118298,2118299,0.9542425094393248,1.0791812460476249,0.1249387366083,1.1760912590556811,1.3979400086720375,0.2218487496163563,1.0
1,absolute_delta_gt_0.5,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00082,123689.0,10.1016/j.bmcl.2022.128549,Ar-H_to_Ar-F,OA35PAIR_02085,OA35PAIR_02065,C=CC(=O)N(C)CCOc1cncnc1-c1ccc(CN2CCN(CC(C)(C)C)CC2=O)cc1,C=CC(=O)N(C)CCOc1cncnc1-c1ccc(CN2CCN(CC(C)(C)C)CC2=O)c(F)c1,2220471,2220472,2.4313637641589874,2.907948521612272,0.4765847574532849,2.9684829485539352,3.5658478186735176,0.5973648701195824,1.0
1,non_aryl_transform;absolute_delta_gt_0.5,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00073,52714.0,10.1021/jm100482n,CH3_to_CF3,OA35PAIR_00616,OA35PAIR_01678,Cc1cn2c(n1)COc1c(CCN3CCN(c4cccc5nc(C)ccc45)CC3)cccc1-2,Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4nc(C(F)(F)F)cn4-5)CC3)cccc2n1,657974,657973,0.5453071164658241,0.1095785469043867,-0.4357285695614373,0.8680563618230415,0.0334237554869497,-0.8346326063360917,1.0
1,absolute_delta_gt_0.5,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00043,54771.0,10.1021/jm100679e,Ar-H_to_Ar-F,OA35PAIR_01386,OA35PAIR_00951,O=C(Cc1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1)N1CCCC1,O=C(Cc1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1F)N1CCCC1,702473,702472,1.464385208841898,0.907034952483417,-0.557350256358481,1.4196253608877432,1.385606273598312,-0.034019087289431,1.0
1,non_aryl_transform;cross_species_reversal,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00035,54771.0,10.1021/jm100679e,C-H_to_C-F,OA35PAIR_01386,OA35PAIR_00764,O=C(Cc1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1)N1CCCC1,O=C(C(F)c1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1)N1CCCC1,702473,702472,1.464385208841898,1.3924683170438543,-0.0719168917980437,1.4196253608877432,1.5541255815130126,0.1345002206252694,0.0
1,non_aryl_transform,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00020,54771.0,10.1021/jm100679e,CH2_to_CF2,OA35PAIR_01386,OA35PAIR_00506,O=C(Cc1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1)N1CCCC1,O=C(N1CCCC1)C(F)(F)c1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1,702473,702472,1.464385208841898,1.670245853074124,0.2058606442322259,1.4196253608877432,1.831613855309099,0.4119884944213559,1.0
1,non_aryl_transform;absolute_delta_gt_0.5,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00061,58850.0,10.1016/j.bmcl.2011.07.031,CH2_to_CF2,OA35PAIR_00838,OA35PAIR_01376,O=C(NC1CCCCC1)N1CCN(c2nc(-c3ccc4ccccc4n3)no2)CC1,O=C(NC1CCC(F)(F)CC1)N1CCN(c2nc(-c3ccc4ccccc4n3)no2)CC1,766746,766744,1.8463371121298051,0.9712758487381052,-0.8750612633917001,2.5317343092765503,2.040602340114073,-0.4911319691624771,1.0
1,non_aryl_transform,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00056,63001.0,10.1016/j.bmcl.2012.06.087,CH2_to_CF2,OA35PAIR_00615,OA35PAIR_01225,COc1cnc(-c2ccccn2)nc1N1CCCC1,COc1cnc(-c2ccccn2)nc1N1CCC(F)(F)C1,834895,834894,2.660865478003869,2.4913616938342726,-0.1695037841695965,2.9943171526696366,2.59659709562646,-0.3977200570431765,1.0
1,non_aryl_transform;cross_species_reversal,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00024,63001.0,10.1016/j.bmcl.2012.06.087,CH3_to_CF3,OA35PAIR_00695,OA35PAIR_00595,COc1cnc(-c2ccccn2)nc1NCc1ccccc1C,COc1cnc(-c2ccccn2)nc1NCc1ccccc1C(F)(F)F,834895,834894,1.740362689494244,1.8864907251724816,0.1461280356782379,2.8981764834976764,2.7442929831226763,-0.1538835003750001,0.0
1,non_aryl_transform,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00071,65301.0,10.1016/j.bmcl.2012.08.031,CH2_to_CF2,OA35PAIR_00289,OA35PAIR_01671,COc1cnc(-c2ccccc2CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)cn1,O=C(NCCc1ccccc1-c1cnc(OC(F)F)cn1)c1ccc(OCCC(F)(F)F)nc1,849461,849460,5.161607546908397,5.390405156480081,0.2287976095716839,5.365862215402555,5.686636269262293,0.3207740538597381,1.0
1,absolute_delta_gt_0.5,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00001,65507.0,10.1021/ml3000148,Ar-H_to_Ar-F,OA35PAIR_02276,OA35PAIR_00001,CC(=O)N[C@@H](Cc1ccccc1F)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,CC(=O)N[C@@H](Cc1ccc(F)cc1F)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,853107,853106,2.602211967802297,1.919444210465237,-0.6827677573370596,2.5691397254724593,2.4933186082321015,-0.0758211172403577,1.0
1,absolute_delta_gt_0.5,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00015,65507.0,10.1021/ml3000148,Ar-H_to_Ar-F,OA35PAIR_01429,OA35PAIR_00408,CC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,CC(=O)N[C@@H](Cc1ccc(F)cc1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,853107,853106,2.7356388146361157,2.097569639431371,-0.6380691752047443,2.6372895476781744,2.510545010206612,-0.1267445374715623,1.0
1,non_aryl_transform;cross_species_reversal,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00062,65507.0,10.1021/ml3000148,OCH3_to_OCF3,OA35PAIR_00382,OA35PAIR_01393,COc1cc(C[C@H](NC(C)=O)[C@H](O)CN[C@H]2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)ccc1F,CC(=O)N[C@@H](Cc1ccc(F)c(OC(F)(F)F)c1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,853107,853106,2.866145505483358,2.624488362513449,-0.2416571429699088,2.4727564493172123,2.597695185925512,0.1249387366082999,0.0
1,non_aryl_transform;cross_species_reversal,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00090,65822.0,10.1021/jm3007257,CH3_to_CF3,OA35PAIR_00341,OA35PAIR_02236,Cc1cccc2c3c([nH]c12)CCN(C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(C#N)CC1)C3,N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCc3[nH]c4c(C(F)(F)F)cccc4c3C2)CC1,860187,860191,1.4661258704181992,1.4831592097169797,0.0170333392987804,2.5081255360831993,2.3197304943302246,-0.1883950417529747,0.0
1,non_aryl_transform;cross_species_reversal,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00079,65822.0,10.1021/jm3007257,OCH3_to_OCF3,OA35PAIR_02314,OA35PAIR_01893,COc1cccc2c3c([nH]c12)CCN(C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(C#N)CC1)C3,N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCc3[nH]c4c(OC(F)(F)F)cccc4c3C2)CC1,860187,860191,1.2723058444020865,1.3469394626989906,0.074633618296904,2.0813473078041325,1.9795483747040952,-0.1017989331000372,0.0
1,absolute_delta_gt_0.5,verified,Author confirmed molecular identities; fluorination edit; endpoint; units; and reported HLM/RLM values against the cited publication or Supporting Information.,FPAIR_00007,65828.0,10.1021/jm300623u,Ar-H_to_Ar-F,OA35PAIR_01829,OA35PAIR_00183,O=C(NCc1cccc(OC(F)(F)F)c1)c1c2ccccc2c(O)n1CCc1ncc(F)cn1,O=C(NCc1ccc(F)c(OC(F)(F)F)c1)c1c2ccccc2c(O)n1CCc1ncc(F)cn1,860766,860767,2.3234583668494677,2.410608542568368,0.0871501757189001,1.7024305364455252,2.296665190261531,0.5942346538160057,1.0
