external_record_id,doc_id,doc_doi,doc_title,is_fluorinated,external_hlm,external_rlm,hlm_assay_ids,rlm_assay_ids,hlm_endpoint_class,rlm_endpoint_class,same_endpoint_class,strict_total_intrinsic_pair,source_unit_per_ug_flag,full_inchikey_overlap,hlm_full_inchikeys,rlm_full_inchikeys,manual_source_review_required,hlm_source_units,rlm_source_units,hlm_assay_description,rlm_assay_description
OA35PAIR_00001,65507.0,10.1021/ml3000148,"A Potent and Orally Efficacious, Hydroxyethylamine-Based Inhibitor of β-Secretase.",1,1.919444210465237,2.4933186082321015,853107,853106,total_intrinsic,total_intrinsic,1,1,0,1,AAHFBZODUHKGBC-CCDWMCETSA-N,AAHFBZODUHKGBC-CCDWMCETSA-N,0,mL.min-1.g-1,mL.min-1.g-1,Intrinsic clearance in human liver microsomes at 1 uM after 30 mins,Intrinsic clearance in rat liver microsomes at 1 uM after 30 mins
OA35PAIR_00002,59152.0,10.1016/j.bmcl.2011.07.076,Discovery of a highly potent series of TLR7 agonists.,1,1.2723058444020865,1.2966651902615312,772830,772831,generic_microsomal_clearance,generic_microsomal_clearance,1,0,0,1,AAOTVWDBODRGRV-UHFFFAOYSA-N,AAOTVWDBODRGRV-UHFFFAOYSA-N,1,mL.min-1.g-1,mL.min-1.g-1,Clearance in human liver microsomes,Clearance in rat liver microsomes
OA35PAIR_00003,119570.0,10.1016/j.ejmech.2021.113189,Discovery of novel positive allosteric modulators of the α7 nicotinic acetylcholine receptor: Scaffold hopping approach.,0,0.5453071164658241,1.255272505103306,2081460,2081462,total_intrinsic,total_intrinsic,1,1,0,1,ABACVOXFUHDKNZ-UHFFFAOYSA-N,ABACVOXFUHDKNZ-UHFFFAOYSA-N,0,mL.min-1.g-1,mL.min-1.g-1,Intrinsic clearance in human liver microsome at 1 to 2.5 uM up to 40 mins,Intrinsic clearance in rat liver microsome at 1 to 2.5 uM up to 40 mins
OA35PAIR_00004,123813.0,10.1021/acs.jmedchem.2c00313,SAGE-718: A First-in-Class <i>N</i>-Methyl-d-Aspartate Receptor Positive Allosteric Modulator for the Potential Treatment of Cognitive Impairment.,0,-0.7818752513737975,0.7323937598229686,2223393;2223403,2223385;2223394,total_intrinsic,total_intrinsic,1,1,0,1,ABAMKJIAQACLMF-MBOCNQOASA-N,ABAMKJIAQACLMF-MBOCNQOASA-N,0,mL.min-1.kg-1 | mL.min-1.g-1,mL.min-1.g-1 | mL.min-1.kg-1,Metabolic stability in human liver microsomes assessed as clearance at 10 uM preincubated for 5 mins followed by NADPH addition and measured upto 65 mins by LC-MS/MS analysis | Metabolic stability in human liver microsomes assessed as intrinsic clearance at 10 uM preincubated for 5 mins followed by NADPH addition and measured upto 65 mins by LC-MS/MS analysis,Metabolic stability in rat liver microsomes assessed as intrinsic clearance at 10 uM preincubated for 5 mins followed by NADPH addition and measured upto 65 mins by LC-MS/MS analysis | Metabolic stability in rat liver microsomes assessed as clearance at 10 uM preincubated for 5 mins followed by NADPH addition and measured upto 65 mins by LC-MS/MS analysis
OA35PAIR_00006,45778.0,10.1016/j.bmcl.2008.08.042,Optimization of a series of multi-isoform PI3 kinase inhibitors.,0,1.4831592097169797,1.1583624920952498,497047,497046,total_intrinsic,total_intrinsic,1,1,0,1,ABVGSFPPWPDZDN-UHFFFAOYSA-N,ABVGSFPPWPDZDN-UHFFFAOYSA-N,0,mL.min-1.g-1,mL.min-1.g-1,Metabolic stability in human liver microsomes assessed as intrinsic clearance per mg of protein at 0.5 uM,Metabolic stability in rat liver microsomes assessed as intrinsic clearance per mg of protein at 0.5 uM
OA35PAIR_00007,61468.0,10.1016/j.bmcl.2012.01.023,"The discovery of aminopyrazines as novel, potent Na(v)1.7 antagonists: hit-to-lead identification and SAR.",0,1.5866998016240492,2.100370545117563,811996,811997,total_intrinsic,total_intrinsic,1,1,0,1,ABYINJFKAFRKKD-UHFFFAOYSA-N,ABYINJFKAFRKKD-UHFFFAOYSA-N,0,mL.min-1.g-1,mL.min-1.g-1,Intrinsic clearance in human liver microsomes,Intrinsic clearance in rat liver microsomes
OA35PAIR_00008,60417.0,10.1016/j.bmcl.2011.09.114,Novel cyclohexyl-amides as potent antibacterials targeting bacterial type IIA topoisomerases.,0,-0.0287241512618947,0.7176705030022621,792589,793474,total_intrinsic,total_intrinsic,1,1,0,1,ACBPZQONZQVIAJ-RWXRFDSASA-N,ACBPZQONZQVIAJ-RWXRFDSASA-N,0,mL.min-1.g-1,mL.min-1.g-1,Intrinsic clearance in human liver microsomes,Intrinsic clearance in rat liver microsomes
OA35PAIR_00009,21037.0,10.1021/jm0499256,Rational approaches to discovery of orally active and brain-penetrable quinazolinone inhibitors of poly(ADP-ribose)polymerase.,1,2.1931245983544616,3.092018470752797,301758,301757,generic_microsomal_clearance,generic_microsomal_clearance,1,0,0,1,ACCULLWIBRVLMN-UHFFFAOYSA-N,ACCULLWIBRVLMN-UHFFFAOYSA-N,1,mL.min-1.kg-1,mL.min-1.kg-1,Clearance in human liver microsomes when incubated at 37 degree Celsius in the presence of NADPH-generating system,Clearance in rat liver microsomes when incubated at 37 degree Celsius in the presence of NADPH-generating system
OA35PAIR_00010,62030.0,10.1016/j.bmcl.2012.04.072,Discovery and optimization of a potent and selective triazolopyridinone series of c-Met inhibitors.,0,1.9924651478080433,2.204662511748219,819880,819878,total_intrinsic,total_intrinsic,1,1,0,1,ACDVIHRBYWUYPZ-HNNXBMFYSA-N,ACDVIHRBYWUYPZ-HNNXBMFYSA-N,0,mL.min-1.g-1,mL.min-1.g-1,Intrinsic clearance in human liver microsomes,Intrinsic clearance in rat liver microsomes
OA35PAIR_00011,110706.0,10.1016/j.bmcl.2019.03.001,A potent seven-membered cyclic BTK (Bruton's tyrosine Kinase) chiral inhibitor conceived by structure-based drug design to lock its bioactive conformation.,1,1.5305838596451178,1.534026106056135,1821703,1821704,total_intrinsic,total_intrinsic,1,1,0,1,ACFBKRAWAGNCMP-UHFFFAOYSA-N,ACFBKRAWAGNCMP-UHFFFAOYSA-N,0,mL.min-1.g-1,mL.min-1.g-1,Intrinsic clearance in human liver microsomes at 1 uM preincubated for 1 hr followed by NADPH addition and measured by LC/MS/MS analysis,Intrinsic clearance in rat liver microsomes at 1 uM preincubated for 1 hr followed by NADPH addition and measured by LC/MS/MS analysis
