species,assay_id,document_id,document_doi,document_title,base_connectivity_key,fluorinated_connectivity_key,base_smiles,fluorinated_smiles,transformation,n_f_added,fluorinated_center_atom_index,formula_delta_ok,formula_delta_atomic_numbers,base_log10_clint,fluorinated_log10_clint,delta_log10_clint_f_minus_base,improved_after_fluorination,base_record_count,fluorinated_record_count,base_replicate_range_log10,fluorinated_replicate_range_log10,pair_max_replicate_range_log10,base_source_standard_types,fluorinated_source_standard_types,base_source_standard_units,fluorinated_source_standard_units,base_source_scaled_units,fluorinated_source_scaled_units,source_endpoint_type_match,source_unit_match,base_has_non_equality_record_in_assay,fluorinated_has_non_equality_record_in_assay,has_traceable_publication,overlap_any_previous_dataset,primary_quality_eligible,selected_primary_observation,manual_review_status,manual_review_note
HLM,2072215,119235,10.1016/j.bmcl.2020.127418,"Discovery, synthesis and characterization of a series of 7-aryl-imidazo[1,2-a]pyridine-3-ylquinolines as activin-like kinase (ALK) inhibitors.",AGMGRCAUAZCHPG,RUBWYYYEDDAWLB,Cc1cc(-c2cnc3cc(-c4ccc(N5CCNCC5)cc4)ccn23)c2cc(F)ccc2n1,Cc1cc(-c2cnc3cc(-c4ccc(N5CCNCC5)cc4)ccn23)c2cc(F)cc(F)c2n1,Ar-H_to_Ar-F,1,30,1,"{""1"": -1, ""9"": 1}",1.089905111439398,-0.08618614761628333,-1.1760912590556813,1,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.kg-1,mL.min-1.kg-1,,,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,2209831,123283,10.1016/j.bmc.2022.116729,Identification and optimisation of a pyrimidopyridone series of IRAK4 inhibitors.,AIAGZIFHIUIDFP,VLBKXXINBKRPTA,CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CC1,CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C(F)F)ccc4n3)cn2)CC1,CH2_to_CF2,2,21,1,"{""1"": -2, ""9"": 2}",-1.6020599913279623,-1.5086383061657274,0.09342168516223492,0,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.kg-1,mL.min-1.kg-1,,,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,1866293,112059,10.1021/acs.jmedchem.9b00662,"Discovery of Clinical Candidate (1R,4r)-4-((R)-2-((S)-6-Fluoro-5H-imidazo[5,1-a]isoindol-5-yl)-1-hydroxyethyl)cyclohexan-1-ol (Navoximod), a Potent and Selective Inhibitor of Indoleamine 2,3-Dioxygenase 1.",AKOIXTSNUPHRQM,FPKRCRNJVIHTNG,OC(CC1c2c(F)cccc2-c2cncn21)C1CCCCC1,OC(CC1c2c(F)cccc2-c2cncn21)C1CCC(F)(F)CC1,CH2_to_CF2,2,19,1,"{""1"": -2, ""9"": 2}",1.2766915288450398,1.1838390370564211,-0.09285249178861865,1,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.kg-1,mL.min-1.kg-1,,,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,863880,65939,10.1021/jm3005866,"The discovery and optimization of a novel class of potent, selective, and orally bioavailable anaplastic lymphoma kinase (ALK) inhibitors with potential utility for the treatment of cancer.",ALPULXUSXBUSRV,DNFWLFJBLMKJGK,CC(C)NC(=O)[C@H]1CC[C@@H](n2c(NC(=O)c3cccc(Cl)c3)nc3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,CC(C)NC(=O)[C@H]1CC[C@@H](n2c(NC(=O)c3ccc(F)c(Cl)c3)nc3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,Ar-H_to_Ar-F,1,18,1,"{""1"": -1, ""9"": 1}",1.960280464436642,1.9872639541222354,0.026983489685593387,0,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.g-1,mL.min-1.g-1,mL.min-1.kg-1,mL.min-1.kg-1,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,863880,65939,10.1021/jm3005866,"The discovery and optimization of a novel class of potent, selective, and orally bioavailable anaplastic lymphoma kinase (ALK) inhibitors with potential utility for the treatment of cancer.",ALPULXUSXBUSRV,IOVQGAQSMHUKLX,CC(C)NC(=O)[C@H]1CC[C@@H](n2c(NC(=O)c3cccc(Cl)c3)nc3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,CC(C)NC(=O)[C@H]1CC[C@@H](n2c(NC(=O)c3cc(F)cc(Cl)c3)nc3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,Ar-H_to_Ar-F,1,17,1,"{""1"": -1, ""9"": 1}",1.960280464436642,1.9872639541222354,0.026983489685593387,0,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.g-1,mL.min-1.g-1,mL.min-1.kg-1,mL.min-1.kg-1,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,2104609,120208,10.1016/j.bmcl.2021.128133,Identification of aryl sulfonamides as novel and potent inhibitors of Na<sub>V</sub>1.5.,ALYSSPGOUMAGSF,UTGXEGKPWGOXLL,O=S(=O)(Nc1cccc(F)n1)c1cc(F)c(O[C@H]2CCN(CC(F)(F)F)C[C@@H]2c2ccc(F)c(F)c2)c(F)c1,O=S(=O)(Nc1cccc(F)n1)c1cc(F)c(O[C@H]2CCN(CC(F)(F)F)C[C@@H]2c2ccc(F)c(F)c2)c(F)c1F,Ar-H_to_Ar-F,1,38,1,"{""1"": -1, ""9"": 1}",1.146128035678238,1.146128035678238,0.0,0,3,1,0.06214790674884463,0.0,0.06214790674884463,CL,CL,mL.min-1.kg-1,mL.min-1.kg-1,,,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,763656,58666,10.1021/jm2006035,"Design and discovery of a selective small molecule κ opioid antagonist (2-methyl-N-((2'-(pyrrolidin-1-ylsulfonyl)biphenyl-4-yl)methyl)propan-1-amine, PF-4455242).",AMGGGGVJXRPRNC,PWVCJYSDCBYYKT,O=S(=O)(c1ccccc1-c1ccc(CNC2CCOCC2)cc1)N1CCCC1,O=S(=O)(c1ccccc1-c1ccc(CNC2CCOCC2)cc1)N1CCC(F)(F)C1,CH2_to_CF2,2,26,1,"{""1"": -2, ""9"": 2}",1.3096301674258988,1.1271047983648077,-0.18252536906109107,1,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.kg-1,mL.min-1.kg-1,,,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,2072215,119235,10.1016/j.bmcl.2020.127418,"Discovery, synthesis and characterization of a series of 7-aryl-imidazo[1,2-a]pyridine-3-ylquinolines as activin-like kinase (ALK) inhibitors.",AQSMGLCCQDFZHZ,UBTPOMHEYRBEHT,Cc1cc(-c2cnc3cc(-c4ccc(C5CNCCN5)cc4)ccn23)c2cc(F)ccc2n1,Cc1cc(-c2cnc3cc(-c4ccc(C5CNCCN5)cc4)ccn23)c2cc(F)cc(F)c2n1,Ar-H_to_Ar-F,1,30,1,"{""1"": -1, ""9"": 1}",1.515873843711679,1.6693168805661123,0.15344303685443328,0,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.kg-1,mL.min-1.kg-1,,,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,536398,44644,10.1016/j.bmcl.2008.09.026,3-(Imidazolyl methyl)-3-aza-bicyclo[3.1.0]hexan-6-yl)methyl ethers: a novel series of mGluR2 positive allosteric modulators.,ARALLKJJFONPRY,COZAYWMOVJHAOV,Cn1c(CN2C[C@@H]3C(COc4ccc(Cl)cc4)[C@@H]3C2)nc2ccccc21,Cn1c(CN2C[C@@H]3C(COc4ccc(Cl)cc4F)[C@@H]3C2)nc2ccccc21,Ar-H_to_Ar-F,1,16,1,"{""1"": -1, ""9"": 1}",0.8195439355418687,0.8388490907372553,0.01930515519538667,0,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.kg-1,mL.min-1.kg-1,,,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,885316,67061,10.1016/j.bmcl.2012.10.078,Discovery of selective biaryl ethers as PDE10A inhibitors: improvement in potency and mitigation of Pgp-mediated efflux.,ARBDZNDJQUKKDD,DXWVYUAWMGHOEQ,CC(C)(O)C1CCN(c2nccnc2Oc2ccc(Nc3nc4ccccc4s3)cc2)CC1,CC(O)(C1CCN(c2nccnc2Oc2ccc(Nc3nc4ccccc4s3)cc2)CC1)C(F)(F)F,CH3_to_CF3,3,32,1,"{""1"": -3, ""9"": 3}",4.92551835817743,4.323458366849468,-0.6020599913279625,1,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.g-1,mL.min-1.g-1,mL.min-1.kg-1,mL.min-1.kg-1,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
