split_strategy,model,n_pairs,n_groups,rmse,mae,spearman,improvement_direction_accuracy,predicted_improved_fraction
document_id,no_change,97,42,0.2833577271457478,0.213184921066624,,0.5979381443298969,0.0
document_id,training_mean,97,42,0.28452557878809415,0.22048113392971666,-0.1872018513416247,0.4020618556701031,1.0
document_id,delta_RLM_OLS,97,42,0.25412537580745226,0.19328507598675312,0.3977349097819631,0.5773195876288659,0.5979381443298969
document_id,delta_RLM_Huber,97,42,0.2563461733742935,0.1883784318622707,0.3973008306066876,0.6185567010309279,0.4536082474226804
document_id,delta_RLM_plus_transform_Ridge,97,42,0.25571672834428155,0.19640800278775225,0.3824763690753097,0.5567010309278351,0.6185567010309279
pair_network_id,no_change,97,68,0.2833577271457478,0.213184921066624,,0.5979381443298969,0.0
pair_network_id,training_mean,97,68,0.2828052728919287,0.21896955757194075,-0.08125538325950761,0.4020618556701031,1.0
pair_network_id,delta_RLM_OLS,97,68,0.25528054430888836,0.1938767249470116,0.416338384193541,0.5773195876288659,0.6185567010309279
pair_network_id,delta_RLM_Huber,97,68,0.2563314958487384,0.18779730532192684,0.42492783382083765,0.6597938144329897,0.4742268041237113
pair_network_id,delta_RLM_plus_transform_Ridge,97,68,0.2615726879685774,0.19887989426384817,0.3827237769614479,0.5567010309278351,0.6597938144329897
