motif,model,n,n_documents,rmse,mae,spearman,low_clearance_auc
all_fluorinated,structure_LGBM__general,879,251,1.0477257433133567,0.7335068349375989,0.12210013611990675,0.5906497392780179
all_fluorinated,RLM_anchor_residual_LGBM__general,879,251,0.5941330332213328,0.4283942342084844,0.8099263948671018,0.8967217141772463
all_fluorinated,RLM_anchor_residual_LGBM__fluorine_augmented,879,251,0.6026157513522552,0.43682757851039195,0.8046723533068554,0.894466217800556
CF3,structure_LGBM__general,313,87,1.2370472275426223,0.8341566698662394,0.08839312413843073,0.6013957307060755
CF3,RLM_anchor_residual_LGBM__general,313,87,0.7528392772682262,0.5368416348631511,0.7799770967757214,0.8768062397372742
CF3,RLM_anchor_residual_LGBM__fluorine_augmented,313,87,0.7660909757170681,0.5538564011840789,0.7822520665830226,0.8788587848932676
CF2_without_CF3,structure_LGBM__general,76,27,0.5979634691638336,0.4972825704923413,0.19598030061100466,0.6101694915254238
CF2_without_CF3,RLM_anchor_residual_LGBM__general,76,27,0.4084259979528588,0.3084351759450439,0.7234817476041814,0.9431704885343968
CF2_without_CF3,RLM_anchor_residual_LGBM__fluorine_augmented,76,27,0.4159227788844668,0.31175342520819144,0.7139350765296834,0.9461615154536391
aryl_F_without_CF3_CF2,structure_LGBM__general,464,163,0.9800987602577413,0.708656660693849,0.18066357116825868,0.6112782422871843
aryl_F_without_CF3_CF2,RLM_anchor_residual_LGBM__general,464,163,0.5021851389099071,0.38429722486846457,0.8481497359162183,0.9104338264279342
aryl_F_without_CF3_CF2,RLM_anchor_residual_LGBM__fluorine_augmented,464,163,0.5063909341264226,0.38814777896888547,0.8421971436704472,0.9067615510695243
