model,seed,scope,n,n_scaffolds,n_uncensored,uncensored_rmse,uncensored_mae,uncensored_spearman,interval_rmse,low_clearance_roc_auc,low_clearance_pr_auc,top20_low_clearance_fraction,low_clearance_prevalence,top20_enrichment
LightGBM,20260819,all,3049,2623,2110,0.3664353062174917,0.2799636908751357,0.7499382228920929,0.3394544353999158,0.9198828622358034,0.9615718003208127,0.9885245901639345,0.6969498196129879,1.4183583413693346
LightGBM,20260819,fluorinated,557,504,389,0.3284344867383358,0.2510932847957881,0.7984115100288226,0.300935898523868,0.9437928082191781,0.9672758067696847,0.9910714285714286,0.6552962298025135,1.5124021526418787
LightGBM,20260819,nonfluorinated,2492,2188,1721,0.37449076443629886,0.2864893085188697,0.7377195040201481,0.3474805630692402,0.9139709078489817,0.9605724601664396,0.9879759519038076,0.7062600321027287,1.398884131900164
LightGBM,20260820,all,3049,2623,2110,0.3655298339991031,0.27851876148922783,0.7516833515212349,0.3392786900863311,0.9195645530939649,0.9612199247029596,0.9901639344262295,0.6969498196129879,1.4207105110896818
LightGBM,20260820,fluorinated,557,504,389,0.32827379100712156,0.24977786049981301,0.7981571926213312,0.3022605318669151,0.9435787671232877,0.9665049530738746,0.9910714285714286,0.6552962298025135,1.5124021526418787
LightGBM,20260820,nonfluorinated,2492,2188,1721,0.37343621134895805,0.28501510691914206,0.7402823109759811,0.3470132618195318,0.9137372702434179,0.9602966989438753,0.9899799599198397,0.7062600321027287,1.4017216250683184
LightGBM,20260821,all,3049,2623,2110,0.36511843939558614,0.2786842865181576,0.752813925137852,0.33834923407621514,0.920122740005093,0.961799321407308,0.9885245901639345,0.6969498196129879,1.4183583413693346
LightGBM,20260821,fluorinated,557,504,389,0.3272902480111227,0.25076776759431163,0.8009941313328751,0.30079681707557576,0.9439783105022831,0.9685696747386159,0.9910714285714286,0.6552962298025135,1.5124021526418787
LightGBM,20260821,nonfluorinated,2492,2188,1721,0.37313779904922284,0.28499429573452956,0.7408835543837771,0.3461862226583095,0.9143139903129658,0.9605380500573901,0.9899799599198397,0.7062600321027287,1.4017216250683184
LightGBM,ensemble,all,3049,2623,2110,0.36470853206024606,0.2782193254715889,0.752530258519635,0.3381479832037976,0.9202403870639166,0.9617849907636343,0.9901639344262295,0.6969498196129879,1.4207105110896818
LightGBM,ensemble,fluorinated,557,504,389,0.3269975822781885,0.24979134580914011,0.8005414565406227,0.30044540713466333,0.9442351598173516,0.9678252985584053,0.9910714285714286,0.6552962298025135,1.5124021526418787
LightGBM,ensemble,nonfluorinated,2492,2188,1721,0.3727040622162399,0.284644940863043,0.7406388649408125,0.3460137993384034,0.9144055824639841,0.9607139350249312,0.9899799599198397,0.7062600321027287,1.4017216250683184
XGBoost,20260819,all,3049,2623,2110,0.362681880731972,0.2766222941952728,0.7519502366623709,0.3383064257116605,0.919353705118411,0.9608529495197952,0.9901639344262295,0.6969498196129879,1.4207105110896818
XGBoost,20260819,fluorinated,557,504,389,0.3256288738217205,0.2469802475594348,0.8022656164395077,0.30029574603804216,0.9446204337899544,0.966170523349692,0.9910714285714286,0.6552962298025135,1.5124021526418787
XGBoost,20260819,nonfluorinated,2492,2188,1721,0.37054398800036403,0.2833223268166214,0.7391250678771991,0.34623226359084486,0.9130837059115748,0.9598922095031869,0.9919839679358717,0.7062600321027287,1.404559118236473
XGBoost,20260820,all,3049,2623,2110,0.3643909889637403,0.27803605092432,0.7497439687042277,0.3388789683605304,0.9190491469314999,0.9607725909415836,0.9901639344262295,0.6969498196129879,1.4207105110896818
XGBoost,20260820,fluorinated,557,504,389,0.3296683423909195,0.252192281282641,0.7958600795571119,0.30296105627950976,0.9429509132420092,0.9659015023035422,0.9910714285714286,0.6552962298025135,1.5124021526418787
XGBoost,20260820,nonfluorinated,2492,2188,1721,0.3717903352482967,0.28387755376604756,0.7378285117503638,0.3463982909312218,0.9130798248882265,0.9598081280703237,0.9899799599198397,0.7062600321027287,1.4017216250683184
XGBoost,20260821,all,3049,2623,2110,0.3642180113447127,0.2765958816572021,0.7505627187933018,0.3384542377008084,0.9189116373822257,0.9598335741450628,0.9885245901639345,0.6969498196129879,1.4183583413693346
XGBoost,20260821,fluorinated,557,504,389,0.3268120462110234,0.24774423569282694,0.8005326904897033,0.3018470019925643,0.943236301369863,0.966765692133067,0.9910714285714286,0.6552962298025135,1.5124021526418787
XGBoost,20260821,nonfluorinated,2492,2188,1721,0.37215234097569755,0.28311725892631423,0.7377529992254329,0.346107486336095,0.9127646857923497,0.9583978406547862,0.9879759519038076,0.7062600321027287,1.398884131900164
XGBoost,ensemble,all,3049,2623,2110,0.36286758893334786,0.2762424983742733,0.7518457225632934,0.3377229847345624,0.9194418130888719,0.9607709835016305,0.9901639344262295,0.6969498196129879,1.4207105110896818
XGBoost,ensemble,fluorinated,557,504,389,0.3264198119763716,0.24806157530288347,0.8003575733329616,0.3008310692018621,0.9440353881278538,0.9666947432104653,0.9910714285714286,0.6552962298025135,1.5124021526418787
XGBoost,ensemble,nonfluorinated,2492,2188,1721,0.37060959499761753,0.28261227122422716,0.739301175487133,0.34543055874898154,0.9133095814704421,0.9596668568490977,0.9899799599198397,0.7062600321027287,1.4017216250683184
CatBoost,20260819,all,3049,2623,2110,0.3685548093887193,0.28049501074257294,0.7426736834407727,0.34473243892140604,0.9161634835752483,0.9591306684962695,0.9901639344262295,0.6969498196129879,1.4207105110896818
CatBoost,20260819,fluorinated,557,504,389,0.3347387680200587,0.2549442120528939,0.7903633579072589,0.3087326946452551,0.9423230593607306,0.9663300242520553,0.9910714285714286,0.6552962298025135,1.5124021526418787
CatBoost,20260819,nonfluorinated,2492,2188,1721,0.37577687850222097,0.2862702929565678,0.7308271792907103,0.352276249955257,0.909878756830601,0.9578054886984951,0.9899799599198397,0.7062600321027287,1.4017216250683184
CatBoost,20260820,all,3049,2623,2110,0.369847665445312,0.2817161284516325,0.7410368040891344,0.3458979544575761,0.9157183600713013,0.958968387757183,0.9901639344262295,0.6969498196129879,1.4207105110896818
CatBoost,20260820,fluorinated,557,504,389,0.3340246477663703,0.2532734529847053,0.7905056533384646,0.30813643971187427,0.9427654109589042,0.9650663487116108,0.9910714285714286,0.6552962298025135,1.5124021526418787
CatBoost,20260820,nonfluorinated,2492,2188,1721,0.3774740235513656,0.28814506555601055,0.728560481673388,0.35378754165143167,0.9092011301539991,0.9578388498265606,0.9899799599198397,0.7062600321027287,1.4017216250683184
CatBoost,20260821,all,3049,2623,2110,0.36990875409884794,0.2819385738659843,0.7402600000282374,0.3456623332569696,0.9151927680162975,0.9586293319141823,0.9901639344262295,0.6969498196129879,1.4207105110896818
CatBoost,20260821,fluorinated,557,504,389,0.3339744761967153,0.25356449321020197,0.7918924222077717,0.30805585957872755,0.9421090182648402,0.962141664121361,0.9910714285714286,0.6552962298025135,1.5124021526418787
CatBoost,20260821,nonfluorinated,2492,2188,1721,0.3775574380731321,0.28835200639073694,0.7274433737311493,0.353521365066183,0.9087284215101838,0.9579888541806189,0.9899799599198397,0.7062600321027287,1.4017216250683184
CatBoost,ensemble,all,3049,2623,2110,0.3689438871282356,0.2809306652832444,0.741943889742824,0.34496895598867805,0.915859943977591,0.9589673965507,0.9901639344262295,0.6969498196129879,1.4207105110896818
CatBoost,ensemble,fluorinated,557,504,389,0.3337265931607019,0.25341765876933464,0.7917496171224427,0.3077952160567303,0.9425513698630137,0.9646597473989442,0.9910714285714286,0.6552962298025135,1.5124021526418787
CatBoost,ensemble,nonfluorinated,2492,2188,1721,0.3764478700428833,0.28714946803391894,0.7295191371428893,0.352742585099918,0.9094402011922503,0.9578854827864871,0.9899799599198397,0.7062600321027287,1.4017216250683184
RandomForest,20260819,all,3049,2623,2110,0.37313166024928324,0.2830677863523733,0.7439853046302897,0.3465396639075284,0.9157366946778711,0.9593823878978212,0.9885245901639345,0.6969498196129879,1.4183583413693346
RandomForest,20260819,fluorinated,557,504,389,0.33184025744581275,0.2524001848959368,0.7986148620239912,0.3005230433393509,0.9446632420091324,0.969259537794638,0.9910714285714286,0.6552962298025135,1.5124021526418787
RandomForest,20260819,nonfluorinated,2492,2188,1721,0.3818466267940108,0.28999962654211986,0.7307062288295129,0.3560127076929809,0.9088207898658718,0.9574934720958059,0.9879759519038076,0.7062600321027287,1.398884131900164
RandomForest,20260820,all,3049,2623,2110,0.37307575591131326,0.2832070742555465,0.7436905091220424,0.3465778435598292,0.9157142857142857,0.95956119404211,0.9885245901639345,0.6969498196129879,1.4183583413693346
RandomForest,20260820,fluorinated,557,504,389,0.3344423730378057,0.2550617026413908,0.7941698626228342,0.3020215856407686,0.9426227168949771,0.968021182275255,0.9910714285714286,0.6552962298025135,1.5124021526418787
RandomForest,20260820,nonfluorinated,2492,2188,1721,0.38126607552465264,0.28956881136066365,0.7313971663138726,0.35577465530292807,0.9093307563338301,0.9579347409120746,0.9879759519038076,0.7062600321027287,1.398884131900164
RandomForest,20260821,all,3049,2623,2110,0.37283577984877003,0.28312972874154757,0.7442181592812506,0.34622412142477926,0.915903234020881,0.9599280983375829,0.9885245901639345,0.6969498196129879,1.4183583413693346
RandomForest,20260821,fluorinated,557,504,389,0.33188664008390395,0.25247321079018176,0.7984493263647663,0.30072677724505137,0.9439640410958904,0.9685339098378463,0.9910714285714286,0.6552962298025135,1.5124021526418787
RandomForest,20260821,nonfluorinated,2492,2188,1721,0.3814830032667591,0.2900590637113798,0.7311221927606477,0.3555983865397295,0.9091304955290611,0.958228518875641,0.9879759519038076,0.7062600321027287,1.398884131900164
RandomForest,ensemble,all,3049,2623,2110,0.37276428166027714,0.28288459942053495,0.7442165573955645,0.34622359489787347,0.9158803157626687,0.9597195735687417,0.9885245901639345,0.6969498196129879,1.4183583413693346
