analysis_set,scope,n,n_documents,baseline_label,candidate_label,baseline,candidate,metric,delta_candidate_minus_baseline,ci95_low,ci95_high,two_sided_p,bootstrap_unit,bootstrap_iterations
strict_total_intrinsic,fluorinated,610,176,structure-only,RLM-anchored residual,structure_LGBM__general,RLM_anchor_residual_LGBM__general,rmse,-0.4635619584972599,-0.7171982080593433,-0.21381106037167405,0.0004,ChEMBL document,5000
strict_total_intrinsic,fluorinated,610,176,structure-only,RLM-anchored residual,structure_LGBM__general,RLM_anchor_residual_LGBM__general,mae,-0.30348175067895194,-0.47240702386290795,-0.14880488574595893,0.0,ChEMBL document,5000
strict_total_intrinsic,fluorinated,610,176,structure-only,RLM-anchored residual,structure_LGBM__general,RLM_anchor_residual_LGBM__general,spearman,0.6866568934546314,0.48665820583930985,0.8718250850396472,0.0,ChEMBL document,5000
strict_total_intrinsic,fluorinated,610,176,structure-only,RLM-anchored residual,structure_LGBM__general,RLM_anchor_residual_LGBM__general,low_clearance_auc,0.27960078632995633,0.17941889791497,0.38410542778011453,0.0,ChEMBL document,5000
strict_total_intrinsic,fluorinated,610,176,RLM-only linear,RLM-anchored residual,measured_RLM_ridge,RLM_anchor_residual_LGBM__general,rmse,-0.11449815190765433,-0.2054021213914083,-0.029254186230177122,0.0096,ChEMBL document,5000
strict_total_intrinsic,fluorinated,610,176,RLM-only linear,RLM-anchored residual,measured_RLM_ridge,RLM_anchor_residual_LGBM__general,mae,-0.11670201657640883,-0.17343812600439507,-0.06429577721230005,0.0,ChEMBL document,5000
strict_total_intrinsic,fluorinated,610,176,RLM-only linear,RLM-anchored residual,measured_RLM_ridge,RLM_anchor_residual_LGBM__general,spearman,0.00532759225957713,-0.026790180231737747,0.03800943537477014,0.7456,ChEMBL document,5000
strict_total_intrinsic,fluorinated,610,176,RLM-only linear,RLM-anchored residual,measured_RLM_ridge,RLM_anchor_residual_LGBM__general,low_clearance_auc,0.00904395770568478,-0.013711095234354164,0.03366160587133263,0.4616,ChEMBL document,5000
strict_total_intrinsic,fluorinated,610,176,RLM constant offset,RLM-anchored residual,RLM_anchor_constant_offset,RLM_anchor_residual_LGBM__general,rmse,-0.19819867512568756,-0.2421904693358836,-0.15610441343128495,0.0,ChEMBL document,5000
strict_total_intrinsic,fluorinated,610,176,RLM constant offset,RLM-anchored residual,RLM_anchor_constant_offset,RLM_anchor_residual_LGBM__general,mae,-0.21191864401887567,-0.2645416292247038,-0.15597134752742442,0.0,ChEMBL document,5000
strict_total_intrinsic,fluorinated,610,176,RLM constant offset,RLM-anchored residual,RLM_anchor_constant_offset,RLM_anchor_residual_LGBM__general,spearman,0.00532759225957713,-0.026790180231737747,0.03800943537477014,0.7456,ChEMBL document,5000
strict_total_intrinsic,fluorinated,610,176,RLM constant offset,RLM-anchored residual,RLM_anchor_constant_offset,RLM_anchor_residual_LGBM__general,low_clearance_auc,0.00904395770568478,-0.013711095234354164,0.03366160587133263,0.4616,ChEMBL document,5000
strict_total_no_unit_or_stereo_flags,fluorinated,598,174,structure-only,RLM-anchored residual,structure_LGBM__general,RLM_anchor_residual_LGBM__general,rmse,-0.38756018755971344,-0.6419173191494569,-0.13844894712203554,0.0016,ChEMBL document,5000
strict_total_no_unit_or_stereo_flags,fluorinated,598,174,structure-only,RLM-anchored residual,structure_LGBM__general,RLM_anchor_residual_LGBM__general,mae,-0.26452565546031276,-0.4225548464064109,-0.11569530583947803,0.0,ChEMBL document,5000
strict_total_no_unit_or_stereo_flags,fluorinated,598,174,structure-only,RLM-anchored residual,structure_LGBM__general,RLM_anchor_residual_LGBM__general,spearman,0.6516428527953279,0.45409241559975655,0.8313248592402515,0.0,ChEMBL document,5000
strict_total_no_unit_or_stereo_flags,fluorinated,598,174,structure-only,RLM-anchored residual,structure_LGBM__general,RLM_anchor_residual_LGBM__general,low_clearance_auc,0.259941089837997,0.16667717806950197,0.36109720224743497,0.0,ChEMBL document,5000
strict_total_no_unit_or_stereo_flags,fluorinated,598,174,RLM-only linear,RLM-anchored residual,measured_RLM_ridge,RLM_anchor_residual_LGBM__general,rmse,-0.0897138066454074,-0.17712801740802442,-0.006966175472456537,0.034,ChEMBL document,5000
strict_total_no_unit_or_stereo_flags,fluorinated,598,174,RLM-only linear,RLM-anchored residual,measured_RLM_ridge,RLM_anchor_residual_LGBM__general,mae,-0.1025065058253159,-0.15669118498097984,-0.051737758710447855,0.0,ChEMBL document,5000
strict_total_no_unit_or_stereo_flags,fluorinated,598,174,RLM-only linear,RLM-anchored residual,measured_RLM_ridge,RLM_anchor_residual_LGBM__general,spearman,0.005699758813298761,-0.02741557579205284,0.04194784522006922,0.732,ChEMBL document,5000
strict_total_no_unit_or_stereo_flags,fluorinated,598,174,RLM-only linear,RLM-anchored residual,measured_RLM_ridge,RLM_anchor_residual_LGBM__general,low_clearance_auc,0.00955449189985269,-0.014085788904617343,0.035601788601363794,0.4468,ChEMBL document,5000
strict_total_no_unit_or_stereo_flags,fluorinated,598,174,RLM constant offset,RLM-anchored residual,RLM_anchor_constant_offset,RLM_anchor_residual_LGBM__general,rmse,-0.2024619543514422,-0.24694949216558607,-0.16180779865029266,0.0,ChEMBL document,5000
strict_total_no_unit_or_stereo_flags,fluorinated,598,174,RLM constant offset,RLM-anchored residual,RLM_anchor_constant_offset,RLM_anchor_residual_LGBM__general,mae,-0.21628364102919156,-0.26967494788380436,-0.16186566387035287,0.0,ChEMBL document,5000
strict_total_no_unit_or_stereo_flags,fluorinated,598,174,RLM constant offset,RLM-anchored residual,RLM_anchor_constant_offset,RLM_anchor_residual_LGBM__general,spearman,0.005699758813298761,-0.02741557579205284,0.04194784522006922,0.732,ChEMBL document,5000
strict_total_no_unit_or_stereo_flags,fluorinated,598,174,RLM constant offset,RLM-anchored residual,RLM_anchor_constant_offset,RLM_anchor_residual_LGBM__general,low_clearance_auc,0.00955449189985269,-0.014085788904617343,0.035601788601363794,0.4468,ChEMBL document,5000
